STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPEND_SOURCE,Source des dépenses,SPENDING_TYPE,Type de dépenses,PROGRAMME_TYPE,Type de programme,PRICE_BASE,Type de prix,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,CURRENCY,Monnaie,BASE_PER,Période de base
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,LTU,Lituanie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,LTU,Lituanie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,LTU,Lituanie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,LTU,Lituanie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,LTU,Lituanie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVK,République slovaque,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVK,République slovaque,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVN,Slovénie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVN,Slovénie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVN,Slovénie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVN,Slovénie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,SVN,Slovénie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,K,Dépense en nature,TP521,Education et à l'accueil des jeunes enfants (EAJE),V,Prix courants,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
