STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP10,Enseignement,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,2715,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP02,"Boissons alcoolisées, tabac et stupéfiants",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,27971,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP03,Articles d'habillement et chaussures,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,39139,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP12,Biens et services divers,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,86762,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,44591,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP07,Transports,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,100426,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP04,"Logement, eau, gaz, électricité et autres combustibles",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,167121,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP09,Loisirs et culture,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,66744,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP08,Communications,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,18919,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP05,"Meubles, articles de ménage et entretien courant du foyer",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,40958,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP06,Santé,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,26700,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,_T,Total,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,731393,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP01,Produits alimentaires et boissons non alcoolisées,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,100262,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP10,Enseignement,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,2770,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP02,"Boissons alcoolisées, tabac et stupéfiants",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,29197,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP03,Articles d'habillement et chaussures,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,39583,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP12,Biens et services divers,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,85268,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,47185,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP07,Transports,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,107386,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP04,"Logement, eau, gaz, électricité et autres combustibles",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1999,,171321,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP09,Loisirs et culture,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,71251,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP08,Communications,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,21700,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP05,"Meubles, articles de ménage et entretien courant du foyer",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,42838,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP06,Santé,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,28250,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,_T,Total,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,776996,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP01,Produits alimentaires et boissons non alcoolisées,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,104562,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP10,Enseignement,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,2869,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP02,"Boissons alcoolisées, tabac et stupéfiants",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,30490,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP03,Articles d'habillement et chaussures,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,41103,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP12,Biens et services divers,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,97068,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,2000,,51089,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
