STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPEND_SOURCE,Source des dépenses,SPENDING_TYPE,Type de dépenses,PROGRAMME_TYPE,Type de programme,PRICE_BASE,Type de prix,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,CURRENCY,Monnaie,BASE_PER,Période de base
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DNK,Danemark,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DNK,Danemark,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DNK,Danemark,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DNK,Danemark,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,EST,Estonie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,EST,Estonie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,EST,Estonie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,EST,Estonie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,EST,Estonie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,FRA,France,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,FRA,France,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,FRA,France,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,FRA,France,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,FRA,France,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DEU,Allemagne,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DEU,Allemagne,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DEU,Allemagne,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DEU,Allemagne,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,DEU,Allemagne,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,GRC,Grèce,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,GRC,Grèce,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,GRC,Grèce,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,GRC,Grèce,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,GRC,Grèce,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,HUN,Hongrie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,HUN,Hongrie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,HUN,Hongrie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,HUN,Hongrie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,HUN,Hongrie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1995,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1996,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1997,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,IRL,Irlande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,IRL,Irlande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,IRL,Irlande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,IRL,Irlande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,IRL,Irlande,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISR,Israël,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISR,Israël,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISR,Israël,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1992,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISR,Israël,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1993,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ISR,Israël,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1994,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ITA,Italie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1990,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,ITA,Italie,A,Annuelle,SOCX,Dépenses sociales,PT_OTE_S13,Pourcentage des dépenses des administrations publiques,ES10,Publiques,K,Dépense en nature,TP51,Famille,_Z,N'est pas applicable,1991,,,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
